"Player","Team","REC","YDS","TDS","FL","FPTS"
"Brevyn Spann-Ford","DAL","7.4","71.4","0.7","0.0","11.1"
"Justin Joly","DEN","8.0","71.4","0.7","0.0","11.0"
"Hunter Long","JAC","5.0","45.0","1.0","0.0","10.5"
"Jack Stoll","CLE","7.8","63.2","0.6","0.0","9.8"
"Ian Thomas","LV","6.9","62.0","0.6","0.0","9.6"
"Joe Royer","CLE","7.5","67.4","0.3","0.1","8.7"
"Chris Manhertz","NYG","5.4","50.6","0.6","0.0","8.4"
"Lucas Krull","DEN","6.0","44.5","0.5","0.0","7.5"
"Cole Turner","MIA","4.5","44.0","0.5","0.0","7.4"
"Luke Farrell","SF","4.2","40.7","0.3","0.0","5.7"
"Ko Kieft","TB","3.7","36.1","0.3","0.0","5.3"
"CJ Dippre","NE","3.9","37.3","0.3","0.0","5.3"
"Josh Cuevas","BAL","3.3","35.8","0.3","0.0","5.3"
"Tyler Conklin","DET","3.7","37.9","0.3","0.0","5.2"
"Eric Saubert","SEA","3.4","34.4","0.3","0.0","5.2"
"Drew Ogletree","IND","3.6","36.3","0.3","0.0","5.2"
"Josh Whyle","GB","3.6","33.0","0.3","0.0","5.2"
"Sam Roush","CHI","3.7","33.8","0.3","0.0","5.0"
"Johnny Mundt","PHI","3.5","35.4","0.2","0.0","4.8"
"Tip Reiman","ARI","3.8","34.4","0.2","0.0","4.6"
"Quintin Morris","JAC","0.0","0.0","0.0","0.0","0.0"
"Jelani Woods","NYJ","0.0","0.0","0.0","0.0","0.0"
"Blake Whiteheart","CLE","0.0","0.0","0.0","0.0","0.0"
"Julian Hill","NE","0.0","0.0","0.0","0.0","0.0"
""
""
