"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Colbie Young","CIN","WR125","0.0","0.0","0.0","14.1","176.3","1.3","0.1","25.4"
"John Bates","WAS","TE59","0.0","0.0","0.0","17.1","169.9","1.6","0.6","25.3"
"Ja'Tavion Sanders","CAR","TE60","0.0","0.0","0.0","21.5","190.4","1.0","0.1","25.1"
"Marlin Klein","HOU","TE61","0.0","0.0","0.0","19.5","192.7","1.1","0.5","24.9"
"Jake Tonges","SF","TE62","0.0","0.0","0.0","16.7","167.2","1.3","0.0","24.7"
"Bryce Lance","NO","WR126","0.0","0.0","0.0","15.1","193.3","0.9","0.2","24.4"
"Isaiah Williams","NYJ","WR127","2.2","12.7","0.1","18.8","185.9","0.7","0.2","24.3"
"Elijah Higgins","ARI","TE63","0.0","0.0","0.0","22.0","196.0","0.8","0.6","23.5"
"Jam Miller","NE","RB89","34.0","145.0","1.0","2.0","25.0","0.0","0.0","23.0"
"Elijah Sarratt","BAL","WR128","0.0","0.0","0.0","11.1","165.8","1.0","0.1","22.4"
"Zavion Thomas","CHI","WR129","0.0","0.0","0.0","12.5","153.5","1.2","0.1","22.4"
"Salvon Ahmed","CHI","RB90","35.0","152.0","1.0","1.0","12.0","0.0","0.0","22.4"
"Nate Boerkircher","JAC","TE64","0.0","0.0","0.0","14.9","156.8","1.3","0.5","22.3"
"Jaylin Lane","WAS","WR130","0.0","0.0","0.0","12.4","159.5","1.1","0.1","22.2"
"Jeremy Ruckert","NYJ","TE65","0.0","0.0","0.0","19.7","146.3","1.3","0.0","22.2"
"Jarquez Hunter","LAR","RB91","32.0","148.0","1.0","1.0","14.0","0.0","0.0","22.2"
"Dameon Pierce","PHI","RB92","35.0","161.0","1.0","0.0","0.0","0.0","0.0","22.1"
"Israel Abanikanda","DAL","RB93","32.0","146.0","1.0","1.0","14.0","0.0","0.0","22.0"
"Brashard Smith","KC","RB94","25.0","89.0","0.5","10.5","71.0","0.5","0.0","22.0"
"Nick Vannett","SEA","TE66","0.0","0.0","0.0","10.0","95.0","2.0","0.0","21.5"
"Drew Sample","CIN","TE67","0.0","0.0","0.0","17.3","146.3","1.2","0.1","21.4"
"Xavier Hutchinson","HOU","WR131","2.1","12.4","0.1","12.5","152.3","0.7","0.1","21.1"
"Carlos Washington Jr.","MIA","RB95","31.0","130.0","1.0","2.0","19.0","0.0","0.0","20.9"
"Audric Estime","NO","RB96","30.0","122.0","1.0","3.0","24.0","0.0","0.0","20.6"
"Isaiah Bond","CLE","WR132","4.3","23.6","0.1","9.9","130.3","0.8","0.1","20.5"
"Jeremy McNichols","WAS","RB97","17.0","88.0","1.0","7.0","53.0","0.0","0.0","20.1"
"Jackson Hawes","BUF","TE68","0.0","0.0","0.0","10.5","115.1","1.4","0.0","20.1"
"Seth McGowan","IND","RB98","22.3","96.4","1.2","3.2","27.3","0.1","0.0","20.0"
"Jordan Whittington","LAR","WR133","2.3","12.1","0.1","11.3","128.2","0.9","0.1","20.0"
"Nate Adkins","DEN","TE69","0.0","0.0","0.0","11.9","88.4","1.8","0.0","19.8"
"Ben Sinnott","WAS","TE70","0.0","0.0","0.0","11.1","114.4","1.4","0.0","19.8"
"Kevin Coleman Jr.","MIA","WR134","0.0","0.0","0.0","13.5","170.2","0.4","0.1","19.3"
"Konata Mumpfield","LAR","WR135","0.0","0.0","0.0","9.9","126.7","1.1","0.1","19.3"
"Zack Kuntz","DAL","TE71","0.0","0.0","0.0","12.0","128.0","1.0","0.0","18.8"
"Will Mallory","IND","TE72","0.0","0.0","0.0","11.0","125.0","1.0","0.0","18.5"
"Kaytron Allen","WAS","RB99","23.6","110.9","0.7","3.0","25.7","0.1","0.0","18.4"
"Jack Endries","CIN","TE73","0.0","0.0","0.0","13.0","123.0","1.0","0.0","18.3"
"Foster Moreau","HOU","TE74","0.0","0.0","0.0","9.3","105.7","1.3","0.0","18.3"
"Skyler Bell","BUF","WR136","0.0","0.0","0.0","10.1","136.5","0.8","0.1","18.3"
"Tahj Brooks","CIN","RB100","30.3","128.4","0.9","0.0","0.0","0.0","0.1","18.2"
"Cade Stover","HOU","TE75","0.0","0.0","0.0","15.2","128.2","0.9","0.1","17.9"
"Brenen Thompson","LAC","WR137","2.1","11.3","0.1","9.5","121.7","0.7","0.1","17.9"
"Luke Schoonmaker","DAL","TE76","0.0","0.0","0.0","13.2","121.5","0.9","0.0","17.8"
"Grant Calcaterra","PHI","TE77","0.0","0.0","0.0","11.0","115.0","1.0","0.0","17.5"
"Mack Hollins","NE","WR138","0.0","0.0","0.0","10.8","126.6","0.8","0.1","17.2"
"Roman Wilson","PIT","WR139","0.0","0.0","0.0","11.8","135.1","0.6","0.1","17.0"
"Teagan Quitoriano","ARI","TE78","0.0","0.0","0.0","12.0","109.0","1.0","0.0","16.9"
"Zaire Mitchell-Paden","NO","TE79","0.0","0.0","0.0","11.0","108.0","1.0","0.0","16.8"
"Demond Claiborne","MIN","RB101","21.6","96.1","0.7","3.3","25.2","0.1","0.0","16.8"
"Devin Neal","NO","RB102","22.5","90.0","1.0","2.5","17.5","0.0","0.0","16.8"
"Mo Alie-Cox","IND","TE80","0.0","0.0","0.0","10.7","113.9","0.9","0.1","16.7"
"Hunter Luepke","DAL","RB103","13.4","56.5","0.4","8.6","61.6","0.4","0.1","16.4"
"Will Shipley","PHI","RB104","9.3","39.6","0.3","11.3","83.5","0.4","0.1","16.3"
"Tanner Hudson","CIN","TE81","0.0","0.0","0.0","13.1","110.3","0.9","0.1","16.2"
"Charlie Woerner","ATL","TE82","0.0","0.0","0.0","14.5","127.4","0.6","0.0","16.2"
"Thomas Fidone II","NYG","TE83","0.0","0.0","0.0","10.0","101.0","1.0","0.0","16.1"
"Kyle Williams","NE","WR140","4.1","22.4","0.2","6.4","91.4","0.6","0.1","15.6"
"Devin Singletary","NYG","RB105","22.2","88.9","0.6","4.2","26.3","0.1","0.1","15.6"
"Connor Heyward","LV","TE84","4.2","17.4","0.1","9.0","66.0","1.1","0.0","15.5"
"Drake Dabney","GB","TE85","0.0","0.0","0.0","10.0","95.0","1.0","0.0","15.5"
"Nicholas Singleton","TEN","RB106","20.3","83.7","0.6","4.3","30.2","0.2","0.1","15.4"
"Odell Beckham Jr.","NYG","WR141","0.0","0.0","0.0","9.2","113.2","0.6","0.1","14.8"
"Tez Johnson","TB","WR142","4.4","23.2","0.2","6.7","77.5","0.6","0.1","14.7"
"Jimmy Horn Jr.","CAR","WR143","6.2","36.7","0.2","6.7","75.7","0.4","0.1","14.5"
"Oscar Delp","NO","TE86","0.0","0.0","0.0","9.4","95.1","0.7","0.0","13.9"
"Durham Smythe","BAL","TE87","0.0","0.0","0.0","9.8","94.0","0.7","0.1","13.7"
"Mitchell Evans","CAR","TE88","0.0","0.0","0.0","8.0","71.5","1.0","0.0","13.2"
"Payne Durham","TB","TE89","0.0","0.0","0.0","7.6","80.8","0.8","0.0","12.9"
"Isaac Guerendo","SF","RB107","16.5","80.0","0.5","2.0","18.5","0.0","0.0","12.9"
"Max Klare","LAR","TE90","0.0","0.0","0.0","8.0","82.6","0.7","0.0","12.3"
"Devin Culp","TB","TE91","0.0","0.0","0.0","5.5","59.0","1.0","0.0","11.9"
"Jalen Royals","KC","WR144","0.0","0.0","0.0","6.8","78.2","0.6","0.1","11.5"
"Michael Burton","CLE","RB108","6.6","13.9","0.6","5.1","33.3","0.6","0.0","11.4"
"KeAndre Lambert-Smith","LAC","WR145","0.0","0.0","0.0","6.4","80.6","0.6","0.1","11.3"
"Tanner Koziol","JAC","TE92","0.0","0.0","0.0","7.0","73.8","0.6","0.0","11.2"
"Brevyn Spann-Ford","DAL","TE93","0.0","0.0","0.0","7.4","71.4","0.7","0.0","11.1"
"Nick Westbrook-Ikhine","IND","WR146","0.0","0.0","0.0","6.1","76.6","0.6","0.1","11.0"
"Justin Joly","DEN","TE94","0.0","0.0","0.0","8.0","71.4","0.7","0.0","11.0"
"Trevor Etienne","CAR","RB109","12.3","52.4","0.3","4.1","29.3","0.1","0.1","10.7"
"Hunter Long","JAC","TE95","0.0","0.0","0.0","5.0","45.0","1.0","0.0","10.5"
"Andrew Beck","NYJ","TE96","0.5","4.0","0.0","4.6","31.8","1.1","0.0","10.2"
"Greg Dortch","DET","WR147","4.6","24.0","0.4","4.1","39.7","0.3","0.1","10.0"
"Dont'e Thornton Jr.","LV","WR148","0.0","0.0","0.0","6.0","83.0","0.3","0.1","10.0"
"Mason Tipton","NO","WR149","0.0","0.0","0.0","6.8","80.6","0.3","0.1","9.9"
"Jack Stoll","CLE","TE97","0.0","0.0","0.0","7.8","63.2","0.6","0.0","9.8"
"Ian Thomas","LV","TE98","0.0","0.0","0.0","6.9","62.0","0.6","0.0","9.6"
"Joe Royer","CLE","TE99","0.0","0.0","0.0","7.5","67.4","0.3","0.1","8.7"
"Bo Melton","GB","WR150","4.5","25.9","0.1","2.9","37.4","0.3","0.1","8.5"
"Alec Ingold","LAC","RB110","2.1","8.6","0.1","7.9","58.7","0.2","0.1","8.5"
"Chris Manhertz","NYG","TE100","0.0","0.0","0.0","5.4","50.6","0.6","0.0","8.4"
"Malachi Corley","CLE","WR151","6.4","44.0","0.2","1.7","16.5","0.1","0.1","7.5"
"Lucas Krull","DEN","TE101","0.0","0.0","0.0","6.0","44.5","0.5","0.0","7.5"
"Cole Turner","MIA","TE102","0.0","0.0","0.0","4.5","44.0","0.5","0.0","7.4"
"Kendre Miller","NO","RB111","13.0","55.3","0.3","0.0","0.0","0.0","0.0","7.3"
"Barion Brown","NO","WR152","0.0","0.0","0.0","4.6","57.4","0.3","0.1","7.3"
"Tyrell Shavers","BUF","WR153","0.0","0.0","0.0","4.0","52.1","0.3","0.0","6.9"
"Derius Davis","LAC","WR154","2.1","11.0","0.1","3.5","38.1","0.3","0.1","6.8"
"Mitch Tinsley","CIN","WR155","0.0","0.0","0.0","3.3","41.8","0.4","0.0","6.5"
"Adam Prentice","DEN","RB112","4.1","17.4","0.1","4.1","29.9","0.2","0.0","6.3"
"Xavier Smith","LAR","WR156","0.0","0.0","0.0","3.6","44.4","0.3","0.0","6.3"
"CJ Daniels","LAR","WR157","0.0","0.0","0.0","3.4","42.8","0.3","0.0","6.3"
"Luke Farrell","SF","TE103","0.0","0.0","0.0","4.2","40.7","0.3","0.0","5.7"
"Jonathan Mingo","DAL","WR158","0.0","0.0","0.0","2.9","40.6","0.3","0.0","5.5"
"Justin Watson","HOU","WR159","0.0","0.0","0.0","3.1","41.6","0.2","0.0","5.5"
"Ko Kieft","TB","TE104","0.0","0.0","0.0","3.7","36.1","0.3","0.0","5.3"
"CJ Dippre","NE","TE105","0.0","0.0","0.0","3.9","37.3","0.3","0.0","5.3"
"Josh Cuevas","BAL","TE106","0.0","0.0","0.0","3.3","35.8","0.3","0.0","5.3"
"Tyler Conklin","DET","TE107","0.0","0.0","0.0","3.7","37.9","0.3","0.0","5.2"
"Darius Cooper","PHI","WR160","0.0","0.0","0.0","3.3","37.7","0.3","0.0","5.2"
"Eric Saubert","SEA","TE108","0.0","0.0","0.0","3.4","34.4","0.3","0.0","5.2"
"Drew Ogletree","IND","TE109","0.0","0.0","0.0","3.6","36.3","0.3","0.0","5.2"
"Josh Whyle","GB","TE110","0.0","0.0","0.0","3.6","33.0","0.3","0.0","5.2"
"Max Bredeson","MIN","RB113","2.0","8.5","0.1","4.5","29.4","0.2","0.0","5.1"
"Tai Felton","MIN","WR161","0.0","0.0","0.0","3.7","37.1","0.2","0.0","5.1"
"Sam Roush","CHI","TE111","0.0","0.0","0.0","3.7","33.8","0.3","0.0","5.0"
"Kaleb Johnson","PIT","RB114","8.6","35.9","0.2","0.0","0.0","0.0","0.0","4.9"
"Johnny Mundt","PHI","TE112","0.0","0.0","0.0","3.5","35.4","0.2","0.0","4.8"
"Reggie Virgil","ARI","WR162","0.0","0.0","0.0","3.4","39.3","0.1","0.0","4.7"
"Tip Reiman","ARI","TE113","0.0","0.0","0.0","3.8","34.4","0.2","0.0","4.6"
"Brycen Tremayne","CAR","WR163","0.0","0.0","0.0","3.3","36.1","0.2","0.0","4.5"
"Reggie Gilliam","NE","RB115","0.0","0.0","0.0","4.1","29.8","0.2","0.0","3.8"
"Riley Nowakowski","PIT","TE114","0.0","0.0","0.0","4.3","29.2","0.2","0.0","3.8"
"Arian Smith","NYJ","WR164","4.4","23.7","0.2","0.0","0.0","0.0","0.0","3.5"
"Patrick Ricard","NYG","RB116","0.0","0.0","0.0","3.9","26.8","0.1","0.0","3.5"
"British Brooks","HOU","RB117","4.2","18.0","0.1","0.0","0.0","0.0","0.0","2.4"
"Ben Skowronek","PIT","WR165","0.0","0.0","0.0","1.8","17.0","0.1","0.0","2.1"
"Jalen Reagor","MIA","WR166","0.0","0.0","0.0","1.4","17.7","0.1","0.0","2.0"
"Kameron Johnson","TB","WR167","2.2","12.1","0.1","0.0","0.0","0.0","0.0","1.8"
"Kaden Wetjen","PIT","WR168","2.2","11.7","0.1","0.0","0.0","0.0","0.0","1.6"
"Laquon Treadwell","IND","WR169","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"David Moore","CAR","WR170","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Braxton Berrios","NYG","WR171","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devin Duvernay","ARI","WR172","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Kinsey","TEN","WR173","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Bandy","DEN","WR174","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Skyy Moore","GB","WR175","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Britain Covey","PHI","WR176","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dareke Young","LV","WR177","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Cowing","SF","WR178","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Charlie Jones","CIN","WR179","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jalen Brooks","ARI","WR180","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nikko Remigio","KC","WR181","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Anthony Gould","IND","WR182","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jeshaun Jones","MIN","WR183","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Efton Chism III","NE","WR184","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"LaJohntay Wester","BAL","WR185","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ke'Shawn Williams","CIN","WR186","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Myles Price","MIN","WR187","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gage Larvadain","CLE","WR188","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Cameron","JAC","WR189","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Quintin Morris","JAC","TE115","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jelani Woods","NYJ","TE116","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Blake Whiteheart","CLE","TE117","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Julian Hill","NE","TE118","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DeeJay Dallas","JAC","RB118","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jerome Ford","WAS","RB119","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kene Nwangwu","NYJ","RB120","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyler Badie","DEN","RB121","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bam Knight","ARI","RB122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trey Benson","ARI","RB123","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Saylors","DET","RB124","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Zavier Scott","MIN","RB125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Rasheen Ali","BAL","RB126","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dylan Laube","LV","RB127","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Collier","LV","RB128","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Williams","TB","RB129","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
