"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Mike Evans","SF","WR28","0.0","0.0","0.0","67.4","950.8","7.0","0.2","136.4"
"Jaylen Waddle","DEN","WR29","1.7","12.4","0.0","74.2","992.2","6.0","0.3","136.0"
"Luther Burden III","CHI","WR30","7.7","38.2","0.1","72.7","973.1","5.7","0.3","135.4"
"Jacory Croskey-Merritt","WAS","RB33","182.8","821.7","7.5","12.0","89.0","0.2","1.8","133.8"
"Kyle Monangai","CHI","RB34","191.3","817.3","5.2","22.9","195.0","0.4","0.7","133.3"
"Colston Loveland","CHI","TE3","0.0","0.0","0.0","79.1","927.5","6.7","0.2","132.3"
"Courtland Sutton","DEN","WR31","0.0","0.0","0.0","67.4","884.7","7.2","0.2","131.2"
"DK Metcalf","PIT","WR32","0.7","3.3","0.3","64.3","926.8","6.1","0.2","131.0"
"Jordan Mason","MIN","RB35","192.8","878.0","6.1","14.5","75.8","0.1","1.1","130.7"
"Marvin Harrison Jr.","ARI","WR33","0.0","0.0","0.0","67.3","945.0","6.0","0.3","130.0"
"Jonathon Brooks","CAR","RB36","179.7","743.2","5.1","27.9","211.6","1.1","1.5","129.7"
"Rachaad White","WAS","RB37","140.3","619.0","5.4","36.5","251.3","1.6","0.8","127.2"
"Blake Corum","LAR","RB38","167.6","801.5","6.4","11.9","80.4","0.2","0.7","126.7"
"Brian Thomas Jr.","JAC","WR34","2.7","17.7","0.4","58.0","872.2","5.4","0.2","123.1"
"Parker Washington","JAC","WR35","5.0","13.6","0.1","62.6","862.5","5.7","0.4","121.7"
"RJ Harvey","DEN","RB39","115.9","439.3","4.3","45.9","341.6","3.2","0.7","121.5"
"Aaron Jones Sr.","MIN","RB40","149.9","638.1","3.1","40.7","300.7","1.7","1.0","120.4"
"Tyler Warren","IND","TE4","0.0","0.0","0.0","79.0","878.1","5.5","0.3","120.2"
"Kenny Gainwell","TB","RB41","113.6","497.8","3.9","49.7","352.3","2.0","0.9","118.4"
"Tucker Kraft","GB","TE5","0.0","0.0","0.0","61.5","785.8","6.5","0.2","116.9"
"Quentin Johnston","LAC","WR36","1.7","5.9","0.0","53.6","757.3","6.9","0.7","116.3"
"Kyle Pitts Sr.","ATL","TE6","0.0","0.0","0.0","79.5","880.9","4.7","0.1","116.2"
"Dallas Goedert","PHI","TE7","0.0","0.0","0.0","65.5","688.9","7.6","0.2","113.9"
